Tickler,Company,MarketCap_EUR,Price_EUR,Revenue_EUR,ISIN,Official_Xetra_Name,Primary_Market_MIC
NVDA,NVIDIA Corporation,4692130937423,194.22,216532012200,US67066G1040,"NVIDIA CORP.      DL-,001",XNAS
AAPL,Apple Inc.,3955467172781,270.5,409310406400,US0378331005,APPLE INC.,XNAS
1GOOGL.MI,Alphabet Inc.,3744153875350,308.64999,390266509800,US02079K3059,"ALPHABET INC.CL.A DL-,001",XNAS
MSFT,Microsoft Corporation,3211484193889,434.35001,290458676700,US5949181045,"MICROSOFT    DL-,00000625",XNAS
AMZN,"Amazon.com, Inc.",2560942657095,240.55,678952704000,US0231351067,"AMAZON.COM INC.    DL-,01",XNAS
AVGO,Broadcom Inc.,1760363667254,368.60001,64145250000,US11135F1012,"BROADCOM INC.     DL-,001",XNAS
SPCX,Space Exploration Technologies Corp.,1517752120134,111.82,20170413200,US84615Q1031,SPACE EXPL.TECHS. CL.A,XNAS
META,"Meta Platforms, Inc.",1304747346987,514.6,199784599100,US30303M1027,"META PLATF.  A DL-,000006",XNAS
TSLA,"Tesla, Inc.",1122547074554,287.5,90697710700,US88160R1014,"TESLA INC. DL -,001",XNAS
BRK-B,Berkshire Hathaway Inc.,972367781102,449.04999,325579216200,US0846707026,"BERKSH. H.B NEW DL-,00333",XNYS
LLY,Eli Lilly and Company,914210702493,1017.79999,69731649800,US5324571083,ELI LILLY,XNYS
MU,"Micron Technology, Inc.",857320138607,757.59998,77464119400,US5951121038,"MICRON TECHN. INC. DL-,10",XNAS
JPM,JPMorgan Chase & Co.,822056840097,308.29999,163092898400,US46625H1005,JPMORGAN CHASE       DL 1,XNYS
WMT,Walmart Inc.,769946147766,96.65,618249982000,US9311421039,"WALMART DL-,10",XNAS
AMD,"Advanced Micro Devices, Inc.",682548262900,417.89999,36216224000,US0079031078,"ADVANCED MIC.DEV.  DL-,01",XNAS
ASML.AS,ASML Holding N.V.,575693352897,1498.80005,35327500000,NL0010273215,"ASML HOLDING    EO -,09",XAMS
V,Visa Inc.,575577203239,315.14999,38940346400,US92826C8394,"VISA INC. CL. A DL -,0001",XNYS
XOM,ExxonMobil Holdings Corporation,544333260500,132.08,316035818000,US30233Q1085,EXX.HO.COR. O.N.,XNYS
JNJ,Johnson & Johnson,540401927127,221.89999,85864147200,US4781601046,JOHNSON + JOHNSON    DL 1,XNYS
INTC,Intel Corporation,443505049000,87.43,50005657600,US4581401001,"INTEL CORP.       DL-,001",XNAS
MA,Mastercard Incorporated,426574573300,487.6,30708149900,US57636Q1040,"MASTERCARD INC.A DL-,0001",XNYS
CSCO,"Cisco Systems, Inc.",413996275836,104.62,51889233200,US17275R1023,"CISCO SYSTEMS    DL-,001",XNAS
BAC,Bank of America Corporation,382098105798,54.36,99723804300,US0605051046,"BANK AMERICA      DL 0,01",XNYS
ABBV,AbbVie Inc.,376086029333,211.5,56357065800,US00287Y1091,"ABBVIE INC.        DL-,01",XNYS
AMAT,"Applied Materials, Inc.",370267823333,466.6,24792300800,US0382221051,APPLIED MATERIALS INC.,XNAS
ORCL,Oracle Corporation,366316122153,126.22,57671063400,US68389X1054,"ORACLE CORP.       DL-,01",XNYS
COST,Costco Wholesale Corporation,363592439206,818.2,249431515200,US22160K1051,"COSTCO WHOLESALE  DL-,005",XNAS
PLTR,Palantir Technologies Inc.,357547827110,137.48,5388295157,US69608A1088,PALANTIR TECHNOLOGIES INC,XNAS
LRCX,Lam Research Corporation,336991375585,268.60001,20370422592,US5128073062,LAM RESEARCH CORP. NEW,XNAS
CAT,Caterpillar Inc.,334870559473,731.5,65410293700,US1491231015,CATERPILLAR INC.     DL 1,XNYS
POR,General Electric Company,332143681612,321.7,44324316700,US3696043013,"GE AEROSPACE      DL -,06",XNYS
KO,The Coca-Cola Company,323974428537,75.19,43822771800,US1912161007,"COCA-COLA CO.      DL-,25",XNYS
UNH,UnitedHealth Group Incorporated,319779621743,353.79999,393997913700,US91324P1021,"UNITEDHEALTH GROUP DL-,01",XNYS
CVX,Chevron Corporation,316552551379,161.9,183273815200,US1667641005,"CHEVRON CORP.      DL-,75",XNYS
RO.SW,Roche Holding AG,313987977687,399.2,68202986002,CH0012032113,ROCHE HLDG AG INH. SF 1,XSWX
HD,"The Home Depot, Inc.",306724358802,305,141603200000,US4370761029,"HOME DEPOT INC.    DL-,05",XNYS
HSBA.L,HSBC Holdings plc,306378137430,17.924,59023229600,GB0005405286,"HSBC HLDGS PLC     DL-,50",XLON
MS,Morgan Stanley,293892924145,185.95,68122848400,US6174464486,"MORGAN STANLEY     DL-,01",XNYS
PG,The Procter & Gamble Company,293130417882,125.56,76179109600,US7427181091,PROCTER GAMBLE,XNYS
MRK,"Merck & Co., Inc.",274698070138,110.8,58267845700,US58933Y1055,"MERCK CO.          DL-,01",XNYS
GS,"The Goldman Sachs Group, Inc.",272265536797,900.79999,59144021000,US38141G1040,GOLDMAN SACHS GRP INC.,XNYS
NFLX,"Netflix, Inc.",267038031756,64.09,42338929729,US64110L1061,"NETFLIX INC.      DL-,001",XNAS
RTX,RTX Corporation,260010781510,191.55,81840550000,US75513E1010,"RTX CORP.            -,01",XNYS
PANW,"Palo Alto Networks, Inc.",256512203500,314.7,9040980600,US6974351057,"PALO ALTO NETWKS DL-,0001",XNAS
NOVN.SW,Novartis AG,256413909844,135.34,49623382900,CH0012005267,"NOVARTIS NAM.     SF 0,49",XSWX
PM,Philip Morris International Inc.,255578392431,163.89999,37239638500,US7181721090,PHILIP MORRIS INTL INC.,XNYS
DELL,Dell Technologies Inc.,253618042864,378.7,113901700000,US24703L2025,"DELL TECHS INC. C  DL-,01",XNYS
BABA,Alibaba Group Holding Limited,253373542846,110.6,128719371615,US01609W1027,A.G.HLD.ADR8 DL-000003125,XNYS
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",236687628960,479.9,79641000000,FR0000121014,"LVMH               EO 0,3",XPAR
WFC,Wells Fargo & Company,228225009887,74.97,72672657800,US9497461015,"WELLS FARGO + CO.DL 1,666",XNYS
GEV,GE Vernova Inc.,228148483225,859.4,36208535100,US36828A1016,GE VERNOVA INC.,XNYS
TXN,Texas Instruments Incorporated,225991541780,246.89999,17027210900,US8825081040,TEXAS INSTR.         DL 1,XNAS
KLAC,KLA Corporation,223896585451,171.42,11886115343,US4824801009,"KLA CORP.        DL -,001",XNAS
NESN.SW,Nestlé S.A.,223687360845,88,96169254313,CH0038863350,"NESTLE NAM.        SF-,10",XSWX
AZN,AstraZeneca PLC,215380197188,160.7,53713659800,,,
SIE.F,Siemens Aktiengesellschaft,214884987290,279.79999,81114000000,DE0007236101,SIEMENS AG  NA O.N.,XFRA
SHEL.L,Shell plc,212623677675,38.38,259614855300,GB00BP6MXD84,SHELL PLC           EO-07,XLON
ANET,"Arista Networks, Inc.",210492460950,164.24001,9226362240,US0404132054,ARISTA NET.INC. NEW O.N.,XNYS
OR.PA,L'Oréal S.A.,205447965786,386,45354800000,FR0000120321,"L OREAL    INH.    EO 0,2",XPAR
SAP.DE,SAP SE,205401432000,177.96001,38192000000,DE0007164600,SAP SE O.N.,XFRA
AXP,American Express Company,199140192020,294.1,62070148900,US0258161092,"AMER. EXPRESS     DL -,20",XNYS
C,Citigroup Inc.,195882680335,116.44,71522513600,US1729674242,"CITIGROUP INC. DL -,01",XNYS
LIN,Linde plc,195378467131,425.79999,31028509700,IE000S9YS762,"LINDE PLC        EO -,001",XNAS
IBM,International Business Machines Corporation,193370445571,203.3,60478853500,US4592001014,"INTL BUS. MACH.    DL-,20",XNYS
AMGN,Amgen Inc.,192177066690,350.95001,33344553500,US0311621009,"AMGEN INC.       DL-,0001",XNAS
TMO,Thermo Fisher Scientific Inc.,189979853020,505.6,40627404800,US8835561023,THERMO FISH.SCIENTIF.DL 1,XNYS
SAN.MC,"Banco Santander, S.A.",182793997730,12.834,48533000000,ES0113900J37,"BCO SANTANDER N.EO0,5",XMAD
ITX.MC,"Industria de Diseño Textil, S.A.",182711009394,58.72,40340000000,ES0148396007,"INDITEX INH.      EO 0,03",XMAD
NOVO-B.CO,Novo Nordisk A/S,180446064465,40.635,44063275324,DK0062498333,"NOVO-NORDISK AS B  DK 0,1",XCSE
APH,Amphenol Corporation,180435662186,145.48,25393853480,US0320951017,"AMPHENOL CORP.  A DL-,001",XNYS
RMS.PA,Hermès International Société en commandite par actions,171305418338,1628.5,16131000000,FR0000052292,HERMES INTERNATIONAL O.N.,XPAR
SU.PA,Schneider Electric S.E.,170778887868,303.60001,42042000000,FR0000121972,SCHNEIDER ELEC. INH. EO 4,XPAR
VZ,Verizon Communications Inc.,169128018670,40.545,121574793500,US92343V1044,"VERIZON COMM. INC. DL-,10",XNYS
AIR.PA,Airbus SE,169060232450,214.15,76986000000,NL0000235190,AIRBUS SE,XPAR
MCD,McDonald's Corporation,168691995674,237.6,24247560600,US5801351017,"MCDONALDS CORP.   DL-,01",XNYS
MRVL,"Marvell Technology, Inc.",165688701714,187.06,7409535000,US5738741041,"MARVELL TECH. GRP DL-,002",XNAS
TTE.PA,TotalEnergies SE,164678258956,74.12,171893164600,FR0000120271,"TOTALENERGIES SE  EO 2,50",XPAR
TMUS,"T-Mobile US, Inc.",164407680888,154.2,80693031700,US8725901040,"T-MOBILE US INC.DL,-00001",XNAS
ADI,"Analog Devices, Inc.",164289319824,337.85,10829164050,US0326541051,ANALOG DEVICES INC.DL-166,XNAS
PEP,"PepsiCo, Inc.",164131349100,119.76,83695984800,US7134481081,"PEPSICO INC.     DL-,0166",XNAS
ALV.DE,Allianz SE,162790997417,433.5,119421000000,DE0008404005,ALLIANZ SE NA O.N.,XMUN
SCHW,The Charles Schwab Corporation,161868298178,92.8,22779682500,US8085131055,CHARLES SCHWAB CORP.DL-01,XNYS
ABT,Abbott Laboratories,161368019018,92.62,40775850500,US0028241000,ABBOTT LABS,XNYS
BA,The Boeing Company,160265937176,200.3,82273823500,US0970231058,BOEING CO.           DL 5,XNYS
STX,Seagate Technology Holdings plc,159339572659,700,10660869000,IE00BKVD2N49,"SEAGATE TEC.HLD.DL-,00001",XNAS
ABBN.SW,ABB Ltd,158895793004,87.48,31293725600,CH0012221716,"ABB LTD. NA     SF 0,12",XSWX
DIS,The Walt Disney Company,156691915299,90.54,86681324800,US2546871060,DISNEY (WALT) CO.,XNYS
QCOM,QUALCOMM Incorporated,155081207846,143.12,38639699200,US7475251036,"QUALCOMM INC.    DL-,0001",XNAS
NEE,"NextEra Energy, Inc.",152727202556,73.5,25121110000,US65339F1012,"NEXTERA ENERGY INC.DL-,01",XNYS
BLK,"BlackRock, Inc.",152232973808,979.7,23894814700,US09290D1019,BLACKROCK INC.       O.N.,XNYS
ETN,Eaton Corporation plc,150741224880,393.10001,26281757800,IE00B8KQN827,"EATON CORP.PLC    DL -,01",XNYS
UNP,Union Pacific Corporation,150632268381,255.1,22241373000,US9078181081,"UNION PAC.        DL 2,50",XNYS
RIO.L,Rio Tinto Group,150580393506,87.86,54087412900,GB0007188757,"RIO TINTO PLC      LS-,10",XLON
RR.L,Rolls-Royce Holdings plc,148216518611,17.924,26902380917,GB00B63H8491,ROLLS ROYCE HLDGS LS 0.20,XLON
SAF.PA,Safran SA,148157968416,356.60001,33569000000,FR0000073272,"SAFRAN INH.       EO -,20",XPAR
DE,Deere & Company,144961242602,539.6,40236450000,US2441991054,DEERE CO.            DL 1,XNYS
SCCO,Southern Copper Corporation,143660990028,173,13818798750,US84265V1052,"SOUTHERN COPPER    DL-,01",XNYS
ABI.BR,Anheuser-Busch InBev SA/NV,143648240836,72.92,54806909500,BE0974293251,ANHEUSER-BUSCH INBEV,XBRU
GILD,"Gilead Sciences, Inc.",142875878661,115.7,26659012100,US3755581036,"GILEAD SCIENCES   DL-,001",XNAS
UBSG.SW,UBS Group AG,142489002527,46.43,46425912000,CH0244767585,"UBS GROUP AG      SF -,10",XSWX
T,AT&T Inc.,141010790241,20.6,111372296700,US00206R1023,AT + T INC.          DL 1,XNYS
BKNG,Booking Holdings Inc.,139361020891,185.75,24719347300,US09857L1089,"BOOKING HLDGS     DL-,008",XNAS
DTE.DE,Deutsche Telekom AG,139334748714,29.04,123226000000,DE0005557508,DT.TELEKOM AG NA,XFRA
CRM,"Salesforce, Inc.",136543761900,165.4,36507439600,US79466L3024,"SALESFORCE INC.   DL-,001",XNYS
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",136154136772,24.61,34135000000,ES0113211835,BCO BIL.VIZ.ARG.NOM.EO-49,XMAD
IBE.MC,"Iberdrola, S.A.",134281855574,20.71,44445000000,ES0144580Y14,"IBERDROLA INH.    EO -,75",XMAD
UBER,"Uber Technologies, Inc.",132546424140,64.72,48340193100,US90353T1007,"UBER TECH.      DL-,00001",XNYS
PFE,Pfizer Inc.,131932624434,22.85,55848652800,US7170811035,"PFIZER INC.        DL-,05",XNYS
ENR.DE,Siemens Energy AG,131328795968,153.53999,41844000000,DE000ENER6Y0,SIEMENS ENERGY AG NA O.N.,XFRA
WDC,Western Digital Corporation,129486563811,375.85,11293789800,US9581021055,"WESTN DIGITAL      DL-,01",XNAS
UCG.MI,UniCredit S.p.A.,126458575984,85.09,24843000000,IT0005239360,UNICREDIT,XMIL
DHR,Danaher Corporation,124511062121,174.95,22013817600,US2358511028,"DANAHER CORP.      DL-,01",XNYS
GLW,Corning Incorporated,123448318158,144.72,14848589200,US2193501051,"CORNING INC.      DL -,50",XNYS
BNP.PA,BNP Paribas SA,123234240000,112.54,51256000000,FR0000131104,BNP PARIBAS INH.     EO 2,XPAR
COP,ConocoPhillips,122215245283,101.88,56420962700,US20825C1045,"CONOCOPHILLIPS     DL-,01",XNYS
ISP.MI,Intesa Sanpaolo S.p.A.,119638078915,6.82,26133000000,IT0000072618,INTESA SANPAOLO,XMIL
ULVR.L,Unilever PLC,117383647052,54.67,50620000000,GB00BVZK7T90,"UNILEVER PLC     LS -,035",XLON
LMT,Lockheed Martin Corporation,117374811090,502.60001,67525875200,US5398301094,LOCKHEED MARTIN    DL 1,XNYS
PH,Parker-Hannifin Corporation,117121337830,934.2,18818074700,US7010941042,"PARKER-HANNIFIN   DL-,50",XNYS
CB,Chubb Limited,116904359544,306,54177568800,CH0044328745,"CHUBB LTD.       SF 24,15",XNYS
ISRG,"Intuitive Surgical, Inc.",115758844342,326.65,9658410320,US46120E6023,"INTUITIVE SURGIC. DL-,001",XNAS
BMY,Bristol-Myers Squibb Company,114356886044,55.83,43052505800,US1101221083,BRISTOL-MYERS SQUIBBDL-10,XNYS
SYK,Stryker Corporation,112486995864,292.3,22615126100,US8636671013,"STRYKER CORP.      DL-,10",XNYS
NOW,"ServiceNow, Inc.",111679013874,107.65,12894919600,US81762P1021,"SERVICENOW INC.   DL-,001",XNYS
BATS.L,British American Tobacco p.l.c.,111344797522,51.58,29934632874,GB0002875804,"BRIT.AMER.TOBACCO  LS-,25",XLON
AI.PA,Air Liquide S.A.,109714885977,172.38,27045900000,FR0000120073,"AIR LIQUIDE INH. EO 5,50",XPAR
VRTX,Vertex Pharmaceuticals Incorporated,108760221892,423.5,11017576160,US92532F1003,"VERTEX PHARMAC.    DL-,01",XNAS
LOW,"Lowe's Companies, Inc.",108327338730,190.85,75168900000,US5486611073,"LOWE'S COS INC.    DL-,50",XNYS
PGR,The Progressive Corporation,108286567497,185.2,79668930700,US7433151039,PROGRESSIVE CORP.    DL 1,XNYS
CVS,CVS Health Corporation,105873806631,82.6,361188168500,US1266501006,"CVS HEALTH CORP.   DL-,01",XNYS
SBUX,Starbucks Corporation,104094172660,92.27,33615021440,US8552441094,STARBUCKS CORP.,XNAS
SPGI,S&P Global Inc.,104080118317,354.7,14111586600,US78409V1044,S+P GLOBAL INC.      DL 1,XNYS
NEM,Newmont Corporation,102696073458,97.85,22553855100,US6516391066,"NEWMONT CORP.     DL 1,60",XNYS
APP,AppLovin Corporation,100389132591,300.05,5977532237,US03831W1080,"APPLOVIN CORP.A  -,00003",XNAS
ENEL.MI,Enel SpA,99669260141,10.048,79497000000,IT0003128367,ENEL S.P.A.          EO 1,XMIL
SNOW,Snowflake Inc.,99084709732,281.5,4289978325,US8334451098,"SNOWFLAKE INC.  DL-,0001",XNYS
MO,"Altria Group, Inc.",98719852701,59.2,17894633200,US02209S1033,"ALTRIA GRP INC.   DL-,333",XNYS
HWM,Howmet Aerospace Inc.,97238229673,254.77851,7980110100,US4432011082,"HOWMET AEROSPACE   DL-,01",XNYS
MDT,Medtronic plc,96506959027,74.54,31062128800,IE00BTN1Y115,"MEDTRONIC PLC    DL-,0001",XNYS
BX,Blackstone Inc.,94886199928,116.35,13552538617,US09260D1072,"BLACKSTONE INC. DL-,00001",XNYS
ZURN.SW,Zurich Insurance Group AG,94882344932,635.8,67374466900,CH0011075394,"ZURICH INSUR.GR.NA.SF0,10",XSWX
BP.L,BP p.l.c.,93288876244,6.052,188596514500,GB0007980591,"BP PLC             DL-,25",XLON
ADP,"Automatic Data Processing, Inc.",93234306820,235,19210559220,US0530151036,"AUTOM. DATA PROC. DL -,10",XNAS
ACN,Accenture plc,93013854295,149.45,62588728583,IE00B4BNMY34,"ACCENTURE A   DL-,0000225",XNYS
BNY,The Bank of New York Mellon Corporation,92502267715,139,18744549500,US0640581007,"BK N.Y. MELLON    DL -,01",XNYS
SO,The Southern Company,92232478971,80.65,26415678700,US8425871071,THE SOUTHERN CO.     DL 5,XNYS
TT,Trane Technologies plc,91793262402,416.8,19440325470,IE00BK9ZQ967,TRANE TECHNOLOG. PLC DL 1,XNYS
GSK.L,GSK plc,91700897384,22.86,38559885759,GB00BN7SWP63,"GSK PLC  LS-,3125",XLON
ADBE,Adobe Inc.,91189143375,229.8,21574527600,US00724F1012,ADOBE INC.,XNAS
CS.PA,AXA SA,91138762900,45.04,96794000000,FR0000120628,"AXA S.A. INH.     EO 2,29",XPAR
ABNB,"Airbnb, Inc.",90814206871,151.48,11518072700,US0090661010,"AIRBNB INC.     DL-,01",XNAS
VRT,Vertiv Holdings Co,90713223251,246.2,10048093880,US92537N1081,"VERTIV HOL.CL A DL-,0001",XNYS
SAN.PA,Sanofi,90226578423,75.34,48919000000,FR0000120578,SANOFI SA INHABER    EO 2,XPAR
PRX.AS,Prosus N.V.,89769080343,42.45,8417146500,NL0013654783,"PROSUS NV         EO -,05",XAMS
CABK.MC,"CaixaBank, S.A.",89210597459,12.81,15734000000,ES0140609019,CAIXABANK S.A. EO,XMAD
MCK,McKesson Corporation,87697720397,731.2,359733419900,US58155Q1031,"MCKESSON           DL-,01",XNYS
PNC,"The PNC Financial Services Group, Inc.",87154988845,220,21286420700,US6934751057,PNC FINL SERVICES GRP DL5,XNYS
INGA.AS,ING Groep N.V.,87114345165,30.49,25214000000,NL0011821202,"ING GROEP NV      EO -,01",XAMS
SPOT,Spotify Technology S.A.,86806100862,425,18113000000,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,XNYS
FCX,Freeport-McMoRan Inc.,86478842058,60.2,22642260400,US35671D8570,FREEPORT-MCMORAN INC.,XNYS
USB,U.S. Bancorp,86172865180,55.28,23914071300,US9029733048,"U.S. BANCORP       DL-,01",XNYS
DUK,Duke Energy Corporation,84204133259,108.05,28712465900,US26441C2044,"DUKE EN.CORP.    DL -,001",XNYS
CME,CME Group Inc.,82007768238,229.25,5914577160,US12572Q1058,"CME GROUP INC.     DL-,01",XNAS
MMM,3M Company,81591670010,158.10001,22040054000,US88579Y1010,"3M CO.             DL-,01",XNYS
BARC.L,Barclays PLC,81215609695,6.04,32681195830,GB0031348658,"BARCLAYS PLC      LS 0,25",XLON
CDNS,"Cadence Design Systems, Inc.",80812037942,296.6,5109671412,US1273871087,"CADENCE DESIGN SYS DL-,01",XNAS
IFX.DE,Infineon Technologies AG,80672938831,62.08,15591000000,DE0006231004,INFINEON TECH.AG NA O.N.,XFRA
CSX,CSX Corporation,80545057984,43.67,12702353600,US1264081035,CSX CORP.            DL 1,XNAS
MELI,"MercadoLibre, Inc.",79842233775,1574.40002,30794804600,US58733R1023,"MERCADOLIBRE INC. DL-,001",XNAS
MAR,"Marriott International, Inc.",79828944393,309,6464090500,US5719032022,"MARRIOTT INTL A    DL-,01",XNAS
JCI,Johnson Controls International plc,79752921414,133.6,21878123500,IE00BY7QL619,"JOHNSON CONTR.INTL.DL-,01",XNYS
EL.PA,EssilorLuxottica Société anonyme,79187628373,172.55,29285000000,FR0000121667,"ESSILORLUXO. INH. EO -,18",XPAR
WM,"Waste Management, Inc.",78721187425,199.25,22466325100,US94106L1098,WASTE MANAGEMENT,XNYS
CDI.PA,Christian Dior SE,78622930764,435.8,79641000000,FR0000130403,CHRISTIAN DIOR INH.  EO 2,XPAR
LLOY.L,Lloyds Banking Group plc,77915896616,1.343,22870217458,GB0008706128,"LLOYDS BKG GRP     LS-,10",XLON
CMCSA,Comcast Corporation,77844311320,21.845,109328471200,US20030N1019,"COMCAST CORP.   A  DL-,01",XNAS
SHW,The Sherwin-Williams Company,77181709406,312,21366335590,US8243481061,SHERWIN-WILLIAMS     DL 1,XNYS
INTU,Intuit Inc.,76957241501,285.85,17836470000,US4612021034,"INTUIT INC.        DL-,01",XNAS
UPS,"United Parcel Service, Inc.",76904274151,90.5,78715729000,US9113121068,UNITED PARCEL SE.B DL-01,XNYS
1810.HK,Xiaomi Corporation,76785692816,3.6,55972621416,,,
CMI,Cummins Inc.,76718339872,557,30379912400,US2310211063,"CUMMINS INC.      DL 2,50",XNYS
MNST,Monster Beverage Corporation,76558309686,82.27,8069353062,US61174X1090,"MONSTER BEVER.NEW DL-,005",XNAS
EMR,Emerson Electric Co.,76359975220,142.45,16312090800,US2910111044,"EMERSON EL.       DL -,50",XNYS
WMB,"The Williams Companies, Inc.",74486006375,61.54,10786321900,US9694571004,WILLIAMS COS INC.    DL 1,XNYS
VLO,Valero Energy Corporation,74296269371,259.8,115915979000,US91913Y1001,"VALERO ENERGY CORP.DL-,01",XNYS
ELV,"Elevance Health, Inc.",73948741112,339.6,176035084200,US0367521038,"ELEVANCE HEALTH    DL-,01",XNYS
BA.L,BAE Systems plc,73384977573,25.96,34120092871,GB0002634946,"BAE SYSTEMS PLC   LS-,025",XLON
ICE,"Intercontinental Exchange, Inc.",72986616558,131.38,9241417400,US45866F1049,INTERCONTINENTAL EXCH.INC,XNYS
ITW,Illinois Tool Works Inc.,72834939968,255.8,14415315700,US4523081093,ILL. TOOL WKS,XNYS
DDOG,"Datadog, Inc.",72658633615,203.5,3472074393,US23804L1035,"DATADOG INC.  A DL-,00001",XNAS
MPC,Marathon Petroleum Corporation,72436781843,260,134923993800,US56585A1025,"MARATHON PETROLEUM DL-,01",XNYS
ROST,"Ross Stores, Inc.",70820105233,219.9,20209654400,US7782961038,"ROSS STRS INC.     DL-,01",XNAS
PSX,Phillips 66,70380167059,177.64999,133191775100,US7185461040,"PHILLIPS 66        DL-,01",XNYS
CTAS,Cintas Corporation,70285081397,175.48,9644888368,US1729081059,CINTAS CORP.,XNAS
NG.L,National Grid plc,69700702403,14.03,20255953816,GB00BDR05C01,NATIONAL GRID PLC,XLON
MDLZ,"Mondelez International, Inc.",69500653275,54.23,34727527500,US6092071058,MONDELEZ INTL INC. A,XNAS
DG.PA,Vinci SA,69461804242,125.35,76521000000,FR0000125486,"VINCI S.A. INH.   EO 2,50",XPAR
TRV,"The Travelers Companies, Inc.",69336208700,332.85,42871318700,US89417E1091,TRAVELERS COS INC.,XNYS
ECL,Ecolab Inc.,69149231176,245.2,14742240250,US2788651006,ECOLAB INC.          DL 1,XNYS
SNPS,"Synopsys, Inc.",68900264012,357,7398303512,US8716071076,"SYNOPSYS INC.      DL-,01",XNAS
RACE.MI,Ferrari N.V.,68455228903,355.14999,7353308000,NL0011585146,FERRARI N.V.,XMIL
ENI.MI,Eni S.p.A.,67847499930,23.275,89932000000,IT0003132476,ENI S.P.A.,XMIL
HON,Honeywell International Inc.,67499236881,212.1,33311292100,US4385162056,HONEYWELL INTL NEW O.N.,XNAS
G.MI,Assicurazioni Generali S.p.A.,67034774180,44.82,59336000000,IT0000062072,GENERALI S.P.A.,XMIL
MSI,"Motorola Solutions, Inc.",66930776801,405.25,10697585400,US6200763075,"MOTOROLA SOLUTIONS DL-,01",XNYS
REGN,"Regeneron Pharmaceuticals, Inc.",66906542386,664,13597522910,US75886F1075,"REGENERON PHARMAC.DL-,001",XNAS
GM,General Motors Company,66472833156,75.62,162392658400,US37045V1008,"GENERAL MOTORS     DL-,01",XNYS
NWG.L,NatWest Group plc,66092745276,8.354,19517436378,GB00BM8PJY71,"NATWEST GR.PLC LS 1,0769",XLON
AON,Aon plc,65743929697,330.6,15385148100,IE00BLP1HW54,"AON PLC A         DL -,01",XNYS
FDX,FedEx Corporation,65195605292,274.39999,81099264000,US31428X1063,"FEDEX CORP.        DL-,10",XNYS
ENGI.PA,Engie SA,64981370668,26.75,70585000000,FR0010208488,ENGIE S.A. INH.      EO 1,XPAR
NSC,Norfolk Southern Corporation,64961548091,293.25,10976262000,US6558441084,NORFOLK STHN CORP.   DL 1,XNYS
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,64793339887,515.40002,62954000000,DE0008430026,MUENCH.RUECKVERS. NA O.N.,XMUN
CI,The Cigna Group,64568180080,242.3,247168964600,US1255231003,"CIGNA GROUP, THE     DL 1",XNYS
CL,Colgate-Palmolive Company,64314747943,80.12,18422439100,US1941621039,COLGATE-PALMOLIVE    DL 1,XNYS
COHR,Coherent Corp.,64159416442,308,5725987453,US19247G1076,COHERENT CORP.,XNYS
APO,"Apollo Global Management, Inc.",63492591665,115.25,31158929400,US03769M1062,"APOLLO GL.M.NEW DL-,00001",XNYS
ABX.TO,Barrick Mining Corporation,63389841907,37.87,16516861200,CA06849F1080,BARRICK MINING CORP.,XTSE
URI,"United Rentals, Inc.",62607018361,1010,14733049600,US9113631090,"UNITED RENTALS INC.DL-,01",XNYS
MRK.DE,Merck KGaA,62455842175,143.65,21135000000,DE0006599905,MERCK KGAA O.N.,XFRA
GLE.PA,Société Générale Société anonyme,61911139961,83.98,26056000000,FR0000130809,"STE GENERALE INH. EO 1,25",XPAR
HLT,Hilton Worldwide Holdings Inc.,61830732335,279.60001,4467531200,US43300A2033,"HILTON WORLD.HDGS DL -,01",XNYS
BSX,Boston Scientific Corporation,61814204357,42.94,18377798800,US1011371077,"BOSTON SCIENTIFIC  DL-,01",XNYS
DBK.DE,Deutsche Bank Aktiengesellschaft,61624594517,32.89,30465000000,DE0005140008,DEUTSCHE BANK AG NA O.N.,XFRA
DHL.DE,Deutsche Post AG,61259583653,55.32,85574000000,DE0005552004,DEUTSCHE POST AG NA O.N.,XDUS
EOG,"EOG Resources, Inc.",61133927916,118.1,23388891300,US26875P1012,"EOG RESOURCES      DL-,01",XNYS
PCAR,PACCAR Inc,60605739643,113.6,24347169740,US6937181088,PACCAR INC.          DL 1,XNAS
HPE,Hewlett Packard Enterprise Company,60249610248,45.31,33068005600,US42824C1099,HEWLETT PACKARD ENT.,XNYS
LITE,Lumentum Holdings Inc.,59905770490,768.90002,2159931200,US55024U1097,"LUMENTUM HLDGS IN.DL-,001",XNAS
KMI,"Kinder Morgan, Inc.",59422770446,26.87,15719512700,US49456B1017,"KINDER MORGAN P DL-,01",XNYS
ACA.PA,Crédit Agricole S.A.,59314635111,19.57,26024000000,FR0000045072,CREDIT AGRICOLE INH. EO 3,XPAR
NDA-FI.HE,Nordea Bank Abp,59303858746,17.46,11624000000,FI4000297767,NORDEA BANK ABP,XHEL
AEP,"American Electric Power Company, Inc.",59206723393,108.9,19948962300,US0255371017,"AMER. EL. PWR     DL 6,50",XNAS
TDG,TransDigm Group Incorporated,58584341351,1095,8773260800,US8936411003,"TRANSDIGM GROUP    DL-,01",XNYS
